,BLOCK_NAME_MAP_TABLE,BLOCK_STOCK_CONTEXT
2c,,
40,新股与次新股,"33:002774,33:002824,33:002839,33:002841,33:002842,33:002843,33:002845,33:002846,33:002847,33:002848,33:002849,33:002850,33:002851,33:002852,33:002853,33:002855,33:002856,33:002857,33:002858,33:002859,33:002860,33:002861,33:002862,33:002863,33:002864,33:002865,33:002866,33:002867,33:002868,33:002869,33:002870,33:002871,33:002872,33:002873,33:002875,33:002876,33:002877,33:002878,33:002879,33:002880,33:002881,33:002882,33:002883,33:002884,33:002885,33:002886,33:002887,33:002888,33:002889,33:002890,33:002891,33:002892,33:002893,33:002895,33:002896,33:002897,33:002898,33:002899,33:002900,33:002901,33:002902,33:002903,33:002905,33:002906,33:002907,33:002908,33:002909,33:002910,33:002911,33:002912,33:002913,33:002915,33:002916,33:002917,33:002918,33:002919,33:002920,33:002921,33:002922,33:002923,33:300514,33:300554,33:300578,33:300580,33:300584,33:300589,33:300590,33:300592,33:300593,33:300595,33:300596,33:300597,33:300598,33:300599,33:300600,33:300601,33:300602,33:300603,33:300604,33:300605,33:300606,33:300607,33:300608,33:300609,33:300610,33:300611,33:300612,33:300613,33:300615,33:300616,33:300617,33:300618,33:300619,33:300620,33:300621,33:300622,33:300623,33:300625,33:300626,33:300627,33:300628,33:300629,33:300630,33:300631,33:300632,33:300633,33:300635,33:300636,33:300637,33:300638,33:300639,33:300640,33:300641,33:300642,33:300643,33:300645,33:300647,33:300648,33:300649,33:300650,33:300651,33:300652,33:300653,33:300654,33:300655,33:300656,33:300657,33:300658,33:300659,33:300660,33:300661,33:300662,33:300663,33:300664,33:300665,33:300666,33:300667,33:300668,33:300669,33:300670,33:300671,33:300672,33:300673,33:300675,33:300676,33:300677,33:300678,33:300679,33:300680,33:300681,33:300682,33:300683,33:300684,33:300685,33:300686,33:300687,33:300688,33:300689,33:300690,33:300691,33:300692,33:300693,33:300695,33:300696,33:300697,33:300698,33:300699,33:300700,33:300701,33:300702,33:300703,33:300705,33:300706,33:300707,33:300708,33:300709,33:300710,33:300711,33:300712,33:300713,33:300715,33:300716,33:300717,33:300718,33:300719,33:300720,33:300721,33:300722,33:300723,33:300725,33:300726,33:300727,33:300729,33:300730,33:300731,33:300732,33:300735,33:300736,17:600025,17:600903,17:600933,17:600939,17:601019,17:601086,17:601108,17:601212,17:601228,17:601326,17:601366,17:601619,17:601858,17:601878,17:601881,17:601949,17:601952,17:603037,17:603038,17:603039,17:603040,17:603041,17:603042,17:603043,17:603050,17:603055,17:603063,17:603076,17:603078,17:603079,17:603080,17:603081,17:603083,17:603086,17:603089,17:603096,17:603103,17:603106,17:603110,17:603113,17:603127,17:603129,17:603133,17:603136,17:603138,17:603139,17:603157,17:603161,17:603165,17:603177,17:603178,17:603179,17:603180,17:603181,17:603183,17:603196,17:603197,17:603200,17:603208,17:603225,17:603226,17:603229,17:603232,17:603233,17:603238,17:603260,17:603269,17:603277,17:603278,17:603283,17:603286,17:603289,17:603303,17:603305,17:603316,17:603320,17:603321,17:603326,17:603329,17:603330,17:603331,17:603335,17:603337,17:603345,17:603357,17:603358,17:603359,17:603360,17:603363,17:603365,17:603367,17:603378,17:603380,17:603383,17:603385,17:603386,17:603387,17:603388,17:603396,17:603429,17:603458,17:603466,17:603477,17:603488,17:603496,17:603499,17:603500,17:603501,17:603505,17:603507,17:603517,17:603527,17:603533,17:603535,17:603536,17:603538,17:603557,17:603578,17:603579,17:603580,17:603586,17:603595,17:603602,17:603603,17:603605,17:603607,17:603612,17:603615,17:603617,17:603619,17:603626,17:603628,17:603630,17:603637,17:603638,17:603639,17:603648,17:603655,17:603656,17:603659,17:603661,17:603665,17:603668,17:603676,17:603677,17:603679,17:603683,17:603685,17:603690,17:603707,17:603711,17:603717,17:603721,17:603722,17:603725,17:603728,17:603730,17:603757,17:603758,17:603767,17:603768,17:603776,17:603787,17:603797,17:603801,17:603803,17:603809,17:603811,17:603813,17:603817,17:603825,17:603826,17:603829,17:603833,17:603839,17:603848,17:603855,17:603856,17:603860,17:603879,17:603880,17:603881,17:603882,17:603890,17:603896,17:603903,17:603906,17:603908,17:603912,17:603916,17:603917,17:603920,17:603922,17:603926,17:603933,17:603937,17:603938,17:603955,17:603960,17:603963,17:603966,17:603970,17:603976,17:603978,17:603980,17:603985,17:603991,"
b3,生物医药,"33:000004,33:000153,33:000403,33:000504,33:000513,33:000597,33:000661,33:000790,33:000806,33:000908,33:000915,33:000931,33:000950,33:000963,33:002004,33:002007,33:002019,33:002020,33:002038,33:002067,33:002102,33:002107,33:002286,33:002287,33:002294,33:002317,33:002326,33:002332,33:002349,33:002390,33:002399,33:002422,33:002435,33:002513,33:002581,33:002653,33:002675,33:002728,33:002742,33:002773,33:002821,33:300003,33:300006,33:300009,33:300016,33:300039,33:300108,33:300109,33:300122,33:300142,33:300181,33:300204,33:300254,33:300255,33:300294,33:300340,33:300357,33:300363,33:300381,33:300406,33:300434,33:300436,33:300439,33:300452,33:300482,33:300485,33:300497,33:300558,33:300583,33:300584,33:300725,17:600056,17:600062,17:600080,17:600090,17:600161,17:600196,17:600220,17:600222,17:600227,17:600249,17:600252,17:600267,17:600272,17:600332,17:600352,17:600381,17:600385,17:600420,17:600488,17:600566,17:600613,17:600624,17:600645,17:600666,17:600671,17:600673,17:600721,17:600781,17:600789,17:600826,17:600867,17:603108,17:603168,17:603566,17:603669,17:603806,"
ce1c,,
ce1e,云计算,"33:000007,33:000034,33:000063,33:000100,33:000555,33:000611,33:000665,33:000806,33:000938,33:000948,33:000971,33:000977,33:002065,33:002075,33:002089,33:002093,33:002197,33:002268,33:002279,33:002281,33:002301,33:002315,33:002368,33:002415,33:002439,33:002456,33:002463,33:002642,33:300017,33:300020,33:300025,33:300044,33:300051,33:300052,33:300074,33:300078,33:300085,33:300113,33:300128,33:300168,33:300212,33:300229,33:300235,33:300245,33:300249,33:300271,33:300274,33:300287,33:300290,33:300297,33:300302,33:300311,33:300365,33:300366,33:300367,33:300369,33:300379,33:300383,33:300431,33:300730,17:600037,17:600100,22:600225,17:600410,17:600536,17:600588,17:600589,17:600590,17:600602,17:600633,22:600654,17:600718,17:600728,17:600756,22:600767,17:600770,17:600797,17:600845,17:600850,17:600996,17:601313,17:603003,17:603019,17:603528,17:603881,"
ce1f,,
ce20,水利,"33:002051,33:002060,33:002131,33:002205,33:002457,33:002532,33:002586,33:002619,33:002621,33:002671,33:300021,33:300137,33:300737,17:600068,17:600075,17:600116,17:600131,17:600283,17:600502,17:600567,17:601669,17:603843,"
ce21,猪肉,"33:000048,33:000529,33:000735,33:000860,33:000876,33:002021,33:002100,33:002124,33:002157,33:002311,33:002330,33:002385,33:002458,33:002477,33:002505,33:002548,33:002567,33:002714,33:002726,33:002840,33:300498,17:600695,17:600975,17:603363,17:603609,"
ce34,石墨烯,"33:000009,33:000413,33:000510,33:000511,33:000532,33:000565,33:000677,33:002092,33:002106,33:002319,33:002340,33:002372,33:002386,33:002443,33:002450,33:002455,33:002471,33:002604,33:002622,33:002630,33:002631,33:002886,33:300035,33:300068,33:300088,33:300128,33:300134,33:300207,33:300233,33:300317,33:300409,17:600039,17:600152,17:600175,17:600482,17:600503,17:600516,17:600522,22:600732,17:600735,17:600773,17:600805,17:600869,17:601011,17:601877,17:603110,17:603133,17:603618,"
ce35,参股新三板,"33:000027,33:000031,33:000062,33:000100,33:000507,33:000513,33:000516,33:000532,33:000551,33:000628,33:000661,33:000686,33:000690,33:000716,33:000728,33:000735,33:000776,33:000783,33:000786,33:000793,33:000828,33:000836,33:000903,33:000917,33:000931,33:000938,33:000961,33:000997,33:000998,33:002004,33:002030,33:002038,33:002054,33:002067,33:002076,33:002084,33:002098,33:002129,33:002157,33:002174,33:002195,33:002238,33:002280,33:002285,33:002286,33:002292,33:002307,33:002317,33:002340,33:002355,33:002376,33:002413,33:002437,33:002451,33:002491,33:002555,33:002622,33:002624,33:002632,33:002642,33:002654,33:002673,33:002702,33:002711,33:002730,33:002783,33:002787,33:002798,33:002820,33:300018,33:300035,33:300043,33:300046,33:300052,33:300058,33:300084,33:300088,33:300096,33:300126,33:300133,33:300165,33:300192,33:300195,33:300226,33:300227,33:300231,33:300251,33:300259,33:300268,33:300271,33:300301,33:300313,33:300356,33:300389,33:300398,33:300437,33:300456,33:300470,33:300472,17:600008,17:600059,17:600064,17:600079,17:600082,17:600100,17:600103,17:600111,17:600128,17:600133,17:600171,17:600210,17:600266,17:600282,17:600283,17:600321,17:600363,17:600373,17:600410,17:600475,17:600525,17:600533,17:600571,17:600588,17:600624,17:600635,17:600658,17:600736,17:600770,17:600783,17:600796,17:600805,17:600851,17:600862,17:600872,17:600884,17:600895,17:600981,17:601238,17:601377,17:603007,17:603009,17:603330,17:603999,"
